date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:41	19191/19191	---M-Z	200	added ('OK')	text/html	etag:%224af7-55c722b2dc400-gzip%22	http://egotype.design/work/web/html/kounter/index-waterpipe.html	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/index-waterpipe.html	(from )
20:22:41	272/272	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20May%202018%2015:22:42%20GMT	http://egotype.design/robots.txt		(from )
20:22:42	559/559	---M--	200	added ('OK')	image/png	etag:%2222f-548f2769f7340%22	http://egotype.design/work/web/html/kounter/favicon.png	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/favicon.png	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:42	1852/1852	---M--	200	added ('OK')	image/png	etag:%2273c-548f27680eec0%22	http://egotype.design/work/web/html/kounter/apple-touch-icon.png	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/apple-touch-icon.png	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:43	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-548f276903100%22	http://egotype.design/work/web/html/kounter/favicon.ico	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/favicon.ico	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:44	44005/44005	---M-Z	200	added ('OK')	text/css	etag:%22abe5-548f227f1d940-gzip%22	http://egotype.design/work/web/html/kounter/css/icons/linea.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/icons/linea.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:44	38219/38219	---M-Z	200	added ('OK')	text/css	etag:%22954b-548f227964bc0-gzip%22	http://egotype.design/work/web/html/kounter/css/icons/font-awesome.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/icons/font-awesome.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:45	144963/144963	---M-Z	200	added ('OK')	text/css	etag:%2223643-548f229324880-gzip%22	http://egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:45	46798/46798	---M-Z	200	added ('OK')	text/css	etag:%22b6ce-548f229600f40-gzip%22	http://egotype.design/work/web/html/kounter/css/plugins/loaders.min.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/plugins/loaders.min.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:45	4093/4093	---M-Z	200	added ('OK')	text/css	etag:%22ffd-548f229418ac0-gzip%22	http://egotype.design/work/web/html/kounter/css/plugins/photoswipe.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/plugins/photoswipe.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:45	11183/11183	---M-Z	200	added ('OK')	text/css	etag:%222baf-548f2296f5180-gzip%22	http://egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:46	20567/20567	---M-Z	200	added ('OK')	text/css	etag:%225057-55c720c3e7440-gzip%22	http://egotype.design/work/web/html/kounter/css/style.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/style.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:46	1119/1119	---M-Z	200	added ('OK')	text/css	etag:%2245f-55c7280a6de80-gzip%22	http://egotype.design/work/web/html/kounter/css/responsive.css	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/responsive.css	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:46	1636/1636	---M--	200	added ('OK')	image/png	etag:%22664-548f240fa8a40%22	http://egotype.design/work/web/html/kounter/images/logo-lg.png	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/logo-lg.png	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:58	76618/76618	---M--	200	added ('OK')	image/jpeg	etag:%2212b4a-548f23d29fa40%22	http://egotype.design/work/web/html/kounter/images/about-image-6.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/about-image-6.jpg	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:22:59	111755/111755	---M--	200	added ('OK')	image/jpeg	etag:%221b48b-548f23cbf2a80%22	http://egotype.design/work/web/html/kounter/images/about-image-5.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/about-image-5.jpg	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:23:53	266571/266571	---M--	200	added ('OK')	image/jpeg	etag:%224114b-548f23c822180%22	http://egotype.design/work/web/html/kounter/images/about-image-5-lg.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/about-image-5-lg.jpg	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:23:54	259338/259338	---M--	200	added ('OK')	image/jpeg	etag:%223f50a-548f23dff99c0%22	http://egotype.design/work/web/html/kounter/images/about-image-6-lg.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/about-image-6-lg.jpg	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:00	130520/130520	---M-Z	200	added ('OK')	application/javascript	etag:%221fdd8-548f25cd06500-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/jquery1.11.2.min.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/jquery1.11.2.min.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:01	8487/8487	---M-Z	200	added ('OK')	application/javascript	etag:%222127-548f25cc122c0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/scrollreveal.min.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/scrollreveal.min.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:01	2375/2375	---M-Z	200	added ('OK')	application/javascript	etag:%22947-55c71a0d61dc0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/contact-form.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/contact-form.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:01	1933/1933	---M-Z	200	added ('OK')	application/javascript	etag:%2278d-55e435b788c80-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/newsletter-form.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/newsletter-form.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:02	3409/3409	---M-Z	200	added ('OK')	application/javascript	etag:%22d51-548f25bccfec0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/jquery.ajaxchimp.min.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:04	31726/31726	---M-Z	200	added ('OK')	application/javascript	etag:%227bee-548f25d878000-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe.min.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe.min.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:05	9876/9876	---M-Z	200	added ('OK')	application/javascript	etag:%222694-548f25d59b940-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe-ui-default.min.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe-ui-default.min.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:24:06	5629/5629	---M-Z	200	added ('OK')	application/javascript	etag:%2215fd-548f25bdc4100-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/jquery.countdown.min.js	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/js/plugins/jquery.countdown.min.js	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
